小区,服务项目,自理需求,半失能需求,失能需求,合计
A,助餐,7238,3040,2596,12874
A,日间照料,4136,2128,2124,8388
A,上门护理,0,912,1416,2328
A,康复理疗,1034,608,708,2350
A,助浴,0,304,472,776
A,紧急救助,78,152,354,584
B,助餐,6048,2600,2420,11068
B,日间照料,3456,1820,1980,7256
B,上门护理,0,780,1320,2100
B,康复理疗,864,520,660,2044
B,助浴,0,260,440,700
B,紧急救助,65,130,330,525
C,助餐,9268,4000,3388,16656
C,日间照料,5296,2800,2772,10868
C,上门护理,0,1200,1848,3048
C,康复理疗,1324,800,924,3048
C,助浴,0,400,616,1016
C,紧急救助,99,200,462,761
D,助餐,5432,2320,2134,9886
D,日间照料,3104,1624,1746,6474
D,上门护理,0,696,1164,1860
D,康复理疗,776,464,582,1822
D,助浴,0,232,388,620
D,紧急救助,58,116,291,465
E,助餐,7882,3380,2948,14210
E,日间照料,4504,2366,2412,9282
E,上门护理,0,1014,1608,2622
E,康复理疗,1126,676,804,2606
E,助浴,0,338,536,874
E,紧急救助,84,169,402,655
F,助餐,4788,2040,1694,8522
F,日间照料,2736,1428,1386,5550
F,上门护理,0,612,924,1536
F,康复理疗,684,408,462,1554
F,助浴,0,204,308,512
F,紧急救助,51,102,231,384
G,助餐,8694,3720,3234,15648
G,日间照料,4968,2604,2646,10218
G,上门护理,0,1116,1764,2880
G,康复理疗,1242,744,882,2868
G,助浴,0,372,588,960
G,紧急救助,93,186,441,720
H,助餐,5740,2460,2068,10268
H,日间照料,3280,1722,1692,6694
H,上门护理,0,738,1128,1866
H,康复理疗,820,492,564,1876
H,助浴,0,246,376,622
H,紧急救助,62,123,282,467
I,助餐,7406,3200,2728,13334
I,日间照料,4232,2240,2232,8704
I,上门护理,0,960,1488,2448
I,康复理疗,1058,640,744,2442
I,助浴,0,320,496,816
I,紧急救助,79,160,372,611
J,助餐,6650,2820,2376,11846
J,日间照料,3800,1974,1944,7718
J,上门护理,0,846,1296,2142
J,康复理疗,950,564,648,2162
J,助浴,0,282,432,714
J,紧急救助,71,141,324,536
